"","filename","sti","ai","pi","min_ess"
"1","article_0_0_0_3_0_100.RDa",1,1,1,12.4788122245613
"2","article_0_0_0_3_0_100.RDa",1,1,2,17.7683215203467
"3","article_0_0_0_3_0_100.RDa",1,2,1,8.88942832437301
"4","article_0_0_0_3_0_100.RDa",1,2,2,12.8213096495342
"5","article_0_0_0_3_0_100.RDa",2,1,1,16.0008485853378
"6","article_0_0_0_3_0_100.RDa",2,1,2,18.1471206431996
"7","article_0_0_0_3_0_100.RDa",2,2,1,11.0048075471427
"8","article_0_0_0_3_0_100.RDa",2,2,2,24.6787953761051
"9","article_0_0_0_3_0_101.RDa",1,1,1,20.5133779619962
"10","article_0_0_0_3_0_101.RDa",1,1,2,22.4334991264029
"11","article_0_0_0_3_0_101.RDa",1,2,1,34.9584877195406
"12","article_0_0_0_3_0_101.RDa",1,2,2,16.7932747181398
"13","article_0_0_0_3_0_101.RDa",2,1,1,10.4733434985988
"14","article_0_0_0_3_0_101.RDa",2,1,2,8.56059664783175
"15","article_0_0_0_3_0_101.RDa",2,2,1,29.3596727489853
"16","article_0_0_0_3_0_101.RDa",2,2,2,35.7376734423416
"17","article_0_0_0_3_0_102.RDa",1,1,1,99.7629248661234
"18","article_0_0_0_3_0_102.RDa",1,1,2,84.4487222743873
"19","article_0_0_0_3_0_102.RDa",1,2,1,68.5071656425428
"20","article_0_0_0_3_0_102.RDa",1,2,2,54.2378095095855
"21","article_0_0_0_3_0_102.RDa",2,1,1,21.9842388779199
"22","article_0_0_0_3_0_102.RDa",2,1,2,39.5825551489482
"23","article_0_0_0_3_0_102.RDa",2,2,1,51.0477178194517
"24","article_0_0_0_3_0_102.RDa",2,2,2,55.7406190171908
"25","article_0_0_0_3_0_103.RDa",1,1,1,60.9807857012609
"26","article_0_0_0_3_0_103.RDa",1,1,2,42.6892175660158
"27","article_0_0_0_3_0_103.RDa",1,2,1,29.5562152604161
"28","article_0_0_0_3_0_103.RDa",1,2,2,35.3414022467186
"29","article_0_0_0_3_0_103.RDa",2,1,1,28.1585541724772
"30","article_0_0_0_3_0_103.RDa",2,1,2,32.9644572551101
"31","article_0_0_0_3_0_103.RDa",2,2,1,28.0165806788473
"32","article_0_0_0_3_0_103.RDa",2,2,2,36.8578015587246
"33","article_0_0_0_3_0_104.RDa",1,1,1,57.7244450840932
"34","article_0_0_0_3_0_104.RDa",1,1,2,52.5173505533271
"35","article_0_0_0_3_0_104.RDa",1,2,1,60.7768508915456
"36","article_0_0_0_3_0_104.RDa",1,2,2,100.214758919441
"37","article_0_0_0_3_0_104.RDa",2,1,1,40.5655164759366
"38","article_0_0_0_3_0_104.RDa",2,1,2,34.3011605247465
"39","article_0_0_0_3_0_104.RDa",2,2,1,67.8410159439172
"40","article_0_0_0_3_0_104.RDa",2,2,2,34.7994168780449
"41","article_0_0_0_3_0_105.RDa",1,1,1,44.6364407612882
"42","article_0_0_0_3_0_105.RDa",1,1,2,29.0336116041836
"43","article_0_0_0_3_0_105.RDa",1,2,1,52.0610354265486
"44","article_0_0_0_3_0_105.RDa",1,2,2,94.0700393056575
"45","article_0_0_0_3_0_105.RDa",2,1,1,66.190722819145
"46","article_0_0_0_3_0_105.RDa",2,1,2,45.4773308394267
"47","article_0_0_0_3_0_105.RDa",2,2,1,47.74808750657
"48","article_0_0_0_3_0_105.RDa",2,2,2,59.6468013691401
"49","article_0_0_0_3_0_106.RDa",1,1,1,98.4270873198286
"50","article_0_0_0_3_0_106.RDa",1,1,2,108.715821717026
"51","article_0_0_0_3_0_106.RDa",1,2,1,87.3938125698811
"52","article_0_0_0_3_0_106.RDa",1,2,2,79.3998090655661
"53","article_0_0_0_3_0_106.RDa",2,1,1,19.4424383577528
